Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Brunei,Asia,c,2020,NF,6,5,0,0,0,0,1,0,1,1,3,0,3,1,4,0,N/A,7,1,1,2,2,6,1,1,1,3,1,2,1,1,5,2,2,1,2,7,21,28
Bulgaria,Europe,c,2020,F,2,2,4,4,3,11,4,4,3,3,14,4,2,3,9,0,N/A,34,2,3,4,4,13,4,4,3,11,3,2,3,2,10,4,3,3,2,12,46,80
Burkina Faso,SSA,c,2020,PF,4,4,2,2,3,7,2,3,2,3,10,2,2,2,6,0,N/A,23,2,3,3,3,11,3,2,3,8,2,2,0,2,6,2,2,2,2,8,33,56
Burundi,SSA,c,2020,NF,7,6,0,0,0,0,1,0,0,2,3,0,0,0,0,0,N/A,3,0,3,1,0,4,0,0,1,1,0,0,0,1,1,1,1,1,1,4,10,13
Cabo Verde,SSA,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,3,3,10,0,N/A,38,4,4,4,4,16,4,4,3,11,4,3,4,3,14,4,3,3,3,13,54,92
Cambodia,Asia,c,2020,NF,7,5,0,0,1,1,0,0,1,1,2,0,1,1,2,0,N/A,5,1,3,2,2,8,1,1,1,3,0,1,1,1,3,2,1,2,1,6,20,25
Cameroon,SSA,c,2020,NF,6,6,0,1,0,1,1,0,1,1,3,1,1,1,3,0,N/A,7,0,2,1,1,4,0,1,1,2,0,1,0,0,1,1,1,1,1,4,11,18
Canada,Americas,c,2020,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,0,N/A,40,4,3,4,4,15,4,4,4,12,4,4,4,3,15,4,4,4,4,16,58,98
Central African Republic,SSA,c,2020,NF,7,7,1,1,1,3,1,1,0,0,2,0,0,0,0,1,N/A,4,1,0,2,1,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,6,10
Chad,SSA,c,2020,NF,7,6,1,0,0,1,1,0,0,0,1,1,0,0,1,0,N/A,3,1,1,2,2,6,1,1,2,4,0,1,0,0,1,1,1,0,1,3,14,17
Chile,Americas,c,2020,F,1,2,4,4,4,12,4,4,4,3,15,4,3,4,11,0,N/A,38,4,4,3,4,15,2,4,4,10,4,4,2,3,13,3,4,4,3,14,52,90
China,Asia,c,2020,NF,7,6,0,0,0,0,0,0,0,0,0,0,1,1,2,3,N/A,-1,0,0,0,1,1,1,0,1,2,1,1,0,0,2,1,1,2,2,6,11,10
Colombia,Americas,c,2020,PF,3,3,4,3,3,10,3,3,2,3,11,3,2,3,8,0,N/A,29,2,4,3,3,12,2,2,2,6,3,2,2,2,9,3,2,3,2,10,37,66
Comoros,SSA,c,2020,PF,4,4,1,3,2,6,2,2,2,2,8,2,1,1,4,0,N/A,18,1,2,3,2,8,1,2,3,6,1,1,2,2,6,2,2,1,1,6,26,44
Congo (Brazzaville),SSA,c,2020,NF,7,5,0,0,0,0,1,0,0,1,2,0,0,0,0,0,N/A,2,1,3,1,2,7,1,1,2,4,0,1,0,0,1,2,2,1,1,6,18,20
Congo (Kinshasa),SSA,c,2020,NF,7,6,0,1,0,1,1,0,0,1,2,0,0,1,1,0,N/A,4,1,3,2,1,7,1,1,1,3,0,0,0,0,0,1,1,1,1,4,14,18
Costa Rica,Americas,c,2020,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,0,N/A,38,4,4,4,4,16,4,4,3,11,4,3,3,3,13,4,3,3,3,13,53,91
Cote d'Ivoire,SSA,c,2020,PF,4,4,3,2,2,7,2,2,2,2,8,2,1,1,4,0,N/A,19,2,3,3,3,11,2,3,3,8,1,1,2,2,6,2,2,1,2,7,32,51
Crimea,Eurasia,t,2020,NF,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,N/A,-2,0,1,1,1,3,0,0,1,1,0,0,0,0,0,1,1,2,2,6,10,8
Croatia,Europe,c,2020,F,1,2,4,4,4,12,4,4,3,3,14,4,3,3,10,0,N/A,36,3,3,3,4,13,4,4,4,12,3,3,3,2,11,4,3,3,3,13,49,85
